Name,ProteinPercentage,LipidPercentage
Almond oilcake,45,20
Azolla microphylla,24.33,6.07
Azolla pinnata,29.4,5.43
Cod liver oil,0,100
Corn flour,11,4
Enhydra fluctuans,33.04,4.56
Fishmeal,67,10
Hydrilla verticillata,24.11,4.94
Ipomoea aquatica,28.96,7.16
Lemna minor,36.94,8.13
Marsilea quadrifolia,19.62,5.97
Pistia stratiotes,16.79,5.15
Ricebran,12,4
Salvinia molesta,28.52,5.27
Salvinia natans,17.81,4.79
Soyabean,55,2
Spirodela polyrhiza,36.65,7.62
Sunflower oil,0,100
Wheat flour,12,5
Wolffia arrhiza,32.55,6.51
